572	Белоруссия
596	Чешская Республика
636	Венгрия
717	Российская Федерация
763	Великобритания
643	Израиль
652	Корея, Республика
685	Нидерланды
731	Сингапур
744	Швеция
575	Канада
644	Италия
674	Мексика
563	Бразилия
760	Украина
606	Эстония
642	Ирландия
556	Бельгия
582	КНР
623	Греция
638	Индия
647	Япония
550	Австрия
736	Южная Африка
738	Испания
745	Швейцария
765	США
598	Дания
611	Франция
619	Германия
637	Исландия
690	Новая Зеландия
709	Польша
755	Турция
710	Португалия
761	Республика Македония
610	Финляндия
549	Австралия
648	Казахстан
